GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
310M100US10740,10740,"Albuquerque, NM Metro Area",49501,3198,7384,1953,4493,1266,4300,1254,4397,1179,3179,1303,2969,897,1846,716,2957,1056,2098,867,4099,1370,4577,1317,4083,1170,1297,666,984,711,527,352,311,273
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",7540,1231,989,411,732,623,859,469,611,530,573,504,133,143,169,166,218,233,209,184,1128,630,877,392,436,306,337,314,217,238,52,89,0,193
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",42761,3997,5475,2033,3768,1582,3592,1240,4812,1955,1641,674,4217,1226,3747,1541,1624,816,2144,1004,2148,976,4393,1722,2875,1040,1354,615,825,762,0,225,146,188
310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",42794,3605,5229,1691,4032,1276,2964,1321,3548,1240,3024,1173,3221,1303,2501,1065,3881,1253,1510,787,2362,998,4592,1411,2783,1192,922,518,1249,821,616,542,360,352
310M100US12540,12540,"Bakersfield-Delano, CA Metro Area",20954,2458,1676,764,1640,688,1318,528,1525,674,1328,573,1263,474,954,438,1792,842,1515,605,2151,853,2575,952,1707,726,625,370,273,233,494,393,118,155
310M100US12580,12580,"Baltimore-Towson, MD Metro Area",11856,1801,703,448,648,436,1022,593,1120,683,808,566,770,759,754,564,481,494,317,324,2421,1026,293,312,1416,646,189,218,246,286,334,391,334,290
310M100US13140,13140,"Beaumont-Port Arthur, TX Metro Area",5271,1298,270,227,263,200,606,679,97,167,1080,583,456,465,909,555,189,154,248,244,392,340,381,302,161,165,74,124,145,181,0,218,0,218
310M100US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",59288,3535,9342,1863,4607,1258,4771,1387,4023,1012,4102,1277,3360,1037,3438,1192,3111,1193,1988,683,3675,1028,5451,1422,5996,1178,2704,922,1393,703,685,418,642,444
310M100US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",18409,1921,2058,858,606,407,1077,573,1890,823,1799,831,1367,713,818,540,831,633,1165,596,1233,526,1164,563,2283,1059,654,412,553,372,363,377,548,418
310M100US15180,15180,"Brownsville-Harlingen, TX Metro Area",8081,1397,1127,457,866,508,461,271,644,343,428,243,825,455,634,510,388,293,256,184,635,374,903,568,679,407,108,179,0,218,78,90,49,79
310M100US16740,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",15498,2776,1590,816,1144,612,1473,674,1605,893,1337,880,1240,933,1290,686,1363,886,713,487,941,527,1482,761,618,583,313,340,56,93,199,222,134,222
310M100US16980,16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",192651,6669,15560,2550,10595,1897,11703,2118,15288,2083,15757,2013,13590,2154,11577,1959,10466,1872,10841,1805,15989,2494,23689,2923,20640,2729,8695,1883,4205,1196,3237,1378,819,438
310M100US17460,17460,"Cleveland-Elyria-Mentor, OH Metro Area",7206,1334,1295,650,258,211,602,364,436,327,265,178,468,277,522,414,264,234,582,369,746,503,630,372,581,370,325,248,135,211,26,42,71,82
310M100US17820,17820,"Colorado Springs, CO Metro Area",6555,1405,727,493,724,658,949,689,442,402,139,126,720,438,315,270,551,427,493,559,484,359,478,348,427,355,68,116,0,201,0,201,38,64
310M100US18140,18140,"Columbus, OH Metro Area",7448,1554,488,286,853,545,371,305,428,297,1056,957,909,434,747,553,624,443,151,144,408,301,388,345,550,366,413,382,0,187,0,187,62,103
310M100US18580,18580,"Corpus Christi, TX Metro Area",5782,1359,1270,624,240,189,234,199,255,195,268,207,930,588,166,144,242,249,77,86,497,286,351,221,411,296,647,701,55,80,16,28,123,201
310M100US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",116877,6076,7776,1762,6919,1497,8267,1841,12561,1830,10231,2098,9835,2145,7348,1752,8796,1841,6290,1530,11000,2067,9542,2132,9566,1928,5279,1497,1835,993,957,523,675,424
310M100US19740,19740,"Denver-Aurora-Broomfield, CO Metro Area",34542,2955,2748,840,1854,721,2428,970,2982,1022,2715,1054,2072,805,2327,782,2676,900,1899,745,2767,815,3667,1143,2934,995,1880,688,1123,658,167,186,303,208
310M100US19820,19820,"Detroit-Warren-Livonia, MI Metro Area",11228,1581,1533,539,442,288,856,435,974,633,507,302,526,367,1197,581,763,628,467,258,1377,621,537,316,737,339,467,347,137,121,665,456,43,70
310M100US20940,20940,"El Centro, CA Metro Area",10122,1692,1635,704,1023,528,1256,621,504,324,611,415,734,445,506,429,78,96,376,321,788,407,581,514,1202,569,304,301,56,93,246,328,222,243
310M100US21340,21340,"El Paso, TX Metro Area",28952,3344,4239,1309,3005,890,2630,929,2624,905,2071,846,2494,1070,1638,832,1314,799,1972,777,1268,691,1586,723,1444,711,881,642,909,1103,280,311,597,565
310M100US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",7952,1637,1098,781,424,386,952,926,619,526,256,390,631,536,1504,894,252,297,210,249,680,653,414,346,399,388,412,439,0,193,0,193,101,166
310M100US23420,23420,"Fresno, CA Metro Area",55365,3389,5248,1277,5141,1155,5698,1322,5283,1298,2446,859,4315,1059,3004,885,4123,1171,2916,914,3271,829,4570,1244,4828,1121,1802,800,1501,760,732,512,487,318
310M100US25540,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",17486,1798,2731,715,1958,807,1398,658,1265,637,1266,530,1489,643,1315,614,706,440,594,415,1150,467,1621,600,769,416,464,378,375,372,293,349,92,155
310M100US26420,26420,"Houston-Sugar Land-Baytown, TX Metro Area",137348,6905,9944,1815,8687,2129,11066,1950,10901,1869,13503,2254,9933,2067,7518,1886,10164,2288,4571,1305,10981,2053,13415,2609,14642,2712,6426,1851,2714,913,2033,1188,850,470
310M100US26900,26900,"Indianapolis-Carmel, IN Metro Area",13644,2024,1311,778,1768,971,1463,936,782,610,1148,695,1386,903,1847,836,365,358,520,409,962,809,566,447,1147,754,324,378,55,71,0,190,0,190
310M100US28140,28140,"Kansas City, MO-KS Metro Area",14461,1425,1515,595,1370,599,1014,492,426,299,1150,566,1149,590,1133,477,714,381,538,339,1386,486,1458,631,1628,622,629,350,49,89,302,279,0,193
310M100US28420,28420,"Kennewick-Pasco-Richland, WA Metro Area",10989,1559,809,603,1002,644,1776,875,1157,696,1237,879,373,397,1389,859,544,391,270,297,579,529,892,560,638,748,281,358,0,201,0,201,42,72
310M100US29820,29820,"Las Vegas-Paradise, NV Metro Area",37328,3190,1994,715,2403,964,2524,625,2866,880,3137,787,3623,1128,2541,1017,2331,874,2213,723,3876,1165,3694,1334,3234,1002,1638,883,0,234,736,585,518,601
310M100US31100,31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",535972,11801,34902,3171,36978,3347,40198,3517,39427,3123,33571,2971,35837,3284,34065,3053,30311,2921,27755,2937,48421,3030,51622,4270,58246,4116,31343,2721,15128,2144,11139,1836,7029,1650
310M100US31180,31180,"Lubbock, TX Metro Area",5778,1323,263,238,435,423,590,534,791,515,450,321,494,423,126,160,366,481,312,193,297,237,878,535,685,481,46,76,0,218,0,218,45,81
310M100US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",10706,1805,1846,751,1251,575,1283,622,372,270,943,546,392,358,285,286,987,741,727,409,615,530,886,617,433,294,592,820,46,78,48,82,0,218
