GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
310M200US10180,10180,"Abilene, TX Metro Area",4022,741,254,273,370,322,387,282,176,171,281,274,364,284,120,116,173,165,251,236,605,433,258,174,391,351,347,362,0,214,0,214,45,82
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",19767,2043,6455,1316,4306,871,2557,728,1011,612,1239,554,681,385,1011,525,467,340,255,211,450,330,610,387,457,527,187,232,81,135,0,221,0,221
310M200US10740,10740,"Albuquerque, NM Metro Area",38909,2991,3983,1201,2110,746,3022,1024,4580,1293,1795,724,3141,1143,2122,841,2095,822,1804,775,3197,1038,3242,1090,3677,1209,1904,626,582,429,937,615,718,614
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10796,1394,652,419,593,362,945,602,1416,679,567,350,644,328,702,510,355,315,131,134,1363,704,1379,693,1121,591,550,342,227,167,35,59,116,147
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",48475,3895,2120,818,3121,1180,3435,937,3934,1381,4739,1125,3729,1286,3185,1262,3230,1178,2567,1086,3239,860,5977,1666,3617,1119,2229,653,812,518,1568,928,973,664
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",35676,2964,2638,879,2399,948,1377,637,2963,1049,1416,794,3549,1315,1980,634,3298,1010,1552,670,3401,1036,3890,981,3267,761,1991,694,520,349,1083,680,352,423
310M200US12540,12540,"Bakersfield, CA Metro Area",17717,2436,801,444,1040,598,1634,780,1539,741,875,606,894,441,774,715,604,406,1251,752,1088,574,1852,618,2173,1020,2094,773,288,205,673,470,137,158
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",9305,1730,574,414,498,327,183,186,139,152,336,250,539,422,404,293,441,318,471,360,465,420,1638,966,1511,591,1186,786,295,275,393,283,232,181
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",4491,781,318,323,338,273,349,264,444,298,381,369,418,413,236,265,510,310,0,192,203,214,458,299,481,328,85,139,126,119,74,127,70,116
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",58542,3492,6613,1414,6582,1438,4183,1052,2775,871,3485,1150,3422,953,3006,847,2340,761,2630,888,3871,1003,6602,1401,5174,1237,3660,885,1453,593,2081,830,665,319
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",15085,2275,758,463,1340,669,953,601,759,485,919,511,811,585,552,459,639,412,872,568,1169,737,1375,616,2356,871,1189,617,879,507,348,314,166,160
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",4547,1037,650,315,470,357,292,212,297,222,152,148,116,94,73,118,476,402,305,336,445,293,261,186,464,310,323,244,107,86,116,140,0,214
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",8464,1419,1980,774,1718,722,916,518,587,392,424,336,202,241,325,377,507,394,0,190,257,229,473,442,488,406,256,259,202,233,129,190,0,190
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",20895,1953,1933,837,1336,789,1327,690,1995,840,2142,907,2275,905,1005,477,1713,832,882,432,915,497,1558,692,2101,755,680,387,310,402,570,461,153,152
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",199743,6624,11256,1665,7404,1229,10623,1472,16477,1786,12891,1989,12788,2007,11422,1736,11750,2006,10222,1766,17541,2020,24818,2759,23783,2738,13261,2005,6463,1319,6258,1452,2786,1108
310M200US17140,17140,"Cincinnati, OH-KY-IN Metro Area",4459,1032,632,410,226,219,506,444,439,276,273,301,353,326,215,219,311,305,278,290,347,301,344,424,173,158,87,145,163,272,112,113,0,189
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",8480,1452,899,528,714,334,329,245,699,497,982,556,914,512,481,289,500,320,236,196,687,476,1174,542,295,224,180,197,190,205,59,105,141,158
310M200US17820,17820,"Colorado Springs, CO Metro Area",10026,1545,666,403,295,319,203,202,700,435,1125,512,1168,694,487,334,370,366,150,241,953,525,1464,685,782,546,1026,613,587,482,50,82,0,193
