GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
310M200US36420,36420,"Oklahoma City, OK Metro Area",7588,1002,399,307,246,190,459,425,858,406,796,388,617,321,722,387,415,185,475,291,476,284,986,443,576,343,320,281,203,164,40,69,0,153
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",3120,859,108,182,40,74,171,247,82,135,266,257,217,241,212,206,387,210,158,156,197,166,307,201,254,236,302,268,266,271,153,159,0,187
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",28650,3341,2275,769,2038,752,2571,993,1659,741,3374,1086,1561,727,2030,1018,2185,1023,1143,538,2785,1117,2234,989,2384,1113,1227,780,558,450,250,228,376,261
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",10622,1302,440,258,501,283,139,116,431,289,755,497,536,248,260,186,698,396,791,488,1163,472,811,447,1619,773,946,367,631,295,267,189,634,474
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",52503,3762,7882,1666,3841,1176,3796,993,2772,844,3192,949,3032,840,2302,943,3759,1220,3008,1095,4058,1041,4184,1145,3899,1124,3443,1152,1304,585,1447,634,584,365
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",71539,4528,6220,1459,4524,1070,5066,1042,5967,1275,5255,1037,4165,963,6203,1491,4382,1147,3915,1007,6385,1269,7368,1227,5848,1221,3001,962,1724,692,962,455,554,404
310M200US38660,38660,"Ponce, PR Metro Area",12614,1364,4210,1009,1644,549,1660,595,1212,537,880,377,557,350,384,291,298,196,406,319,113,134,409,357,367,282,191,189,161,250,0,220,122,212
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",24117,2780,1427,685,1044,505,2545,1015,1475,677,2216,1023,2283,1017,2232,933,1386,672,1332,657,2284,786,2008,800,2293,840,617,404,443,277,318,308,214,267
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",28782,2240,4271,983,3372,1005,2906,843,1423,610,1682,739,1858,797,1972,855,1215,588,1073,432,2368,809,1603,716,2660,851,1161,538,414,365,421,276,383,295
310M200US39380,39380,"Pueblo, CO Metro Area",7926,1310,1050,434,875,427,649,413,1069,511,187,195,536,301,614,353,42,68,781,531,490,356,566,453,416,457,460,354,52,87,139,155,0,192
310M200US39580,39580,"Raleigh, NC Metro Area",11252,2110,812,598,1288,674,741,666,1097,743,1308,835,647,461,1147,685,986,757,706,583,508,353,523,452,687,530,144,162,163,259,495,474,0,198
310M200US39900,39900,"Reno, NV Metro Area",4859,1003,181,191,49,81,230,254,212,220,562,394,349,274,672,463,319,313,139,116,384,272,516,341,754,443,189,189,303,267,0,203,0,203
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",191343,6124,12552,2064,11395,1893,12138,1612,13033,2109,10756,1903,10543,1502,9762,1550,11488,1989,9855,1392,16641,2289,22547,2830,22829,2171,13472,1890,7141,1377,4808,1216,2383,787
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",39578,2881,3788,1097,2315,739,1866,817,2647,900,2764,901,1389,587,2202,727,2324,693,1751,642,3773,1125,4308,1401,3975,920,3013,950,1748,598,1204,497,511,321
310M200US41420,41420,"Salem, OR Metro Area",5907,1403,312,250,182,198,721,590,659,574,609,494,149,142,251,299,700,582,478,497,733,654,423,398,472,399,151,183,0,197,56,94,11,19
310M200US41500,41500,"Salinas, CA Metro Area",8608,1523,603,417,431,297,212,160,883,487,584,358,167,168,344,269,197,221,650,376,768,372,1050,462,995,457,665,411,542,447,479,376,38,63
310M200US41620,41620,"Salt Lake City, UT Metro Area",21799,1947,1342,598,1370,726,1435,723,1852,760,1409,648,1544,750,1857,885,1142,627,1622,996,2333,833,1864,745,2272,857,502,350,585,420,472,434,198,246
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",43766,3424,3423,1019,2083,822,3146,965,3341,985,2284,854,3647,1139,2175,868,2319,749,2370,770,4297,1086,5061,1174,5185,1125,2292,955,1008,559,1010,579,125,156
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",50034,3537,2926,626,2312,703,2976,928,3410,938,2710,843,4050,1025,2407,605,2918,930,3391,1091,4343,1000,4225,822,6785,1160,2775,756,1756,668,2202,793,848,382
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",100822,4589,4083,1066,3622,1122,5018,1400,5757,1333,4273,1119,5360,1196,6617,1458,4945,1186,4296,1089,8396,1540,10575,1641,14162,1830,9911,1671,4531,1153,4938,1364,4338,1114
310M200US41900,41900,"San Germán, PR Metro Area",14121,1554,5536,1134,2592,735,931,435,751,448,1169,659,696,407,482,397,66,111,57,93,603,383,644,332,170,264,263,313,0,220,161,210,0,220
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",43746,3255,1783,660,1045,528,1617,662,1869,739,1702,643,1954,641,4261,1044,2103,704,1425,514,3936,896,5301,1255,5457,1246,5138,1409,2167,656,2243,781,1745,583
310M200US41980,41980,"San Juan-Carolina-Caguas, PR Metro Area",85917,4422,25911,2791,9550,1481,10589,1509,7083,1313,5562,1181,4766,1161,4032,1014,2769,900,2550,862,4338,1089,4353,871,2406,839,492,307,701,464,445,321,370,337
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",6573,1224,199,199,0,200,721,618,226,204,136,165,183,208,464,403,639,381,868,572,278,252,819,372,485,368,363,229,315,399,752,512,125,166
310M200US42140,42140,"Santa Fe, NM Metro Area",5094,1006,470,285,122,124,447,373,700,472,681,417,373,375,180,136,297,223,163,145,141,163,686,407,428,269,62,63,152,228,14,24,178,265
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",10896,1334,492,253,622,458,384,385,1040,688,828,522,677,457,619,484,461,445,562,355,1164,613,1100,583,1224,567,776,505,385,357,550,358,12,20
310M200US42220,42220,"Santa Rosa, CA Metro Area",15252,1989,1173,760,300,427,1029,519,1034,557,600,424,753,573,1680,970,870,541,925,713,1942,784,1313,672,1415,756,745,368,594,457,294,263,585,518
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",23773,2889,1620,746,772,654,1973,947,966,582,1214,622,1651,772,1177,538,2351,838,1458,820,1805,768,3402,1136,2559,930,593,335,932,528,933,688,367,269
310M200US44140,44140,"Springfield, MA Metro Area",11110,1507,2510,869,1985,685,1317,650,1166,721,444,423,845,573,792,463,599,452,152,179,326,260,162,140,468,358,111,143,233,274,0,198,0,198
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",22342,2372,1584,611,1210,551,2181,853,1150,556,1269,528,1504,594,2288,956,1867,770,916,461,1836,766,1484,531,2015,732,1417,732,844,635,593,410,184,162
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",27648,2777,2040,631,1526,663,2212,874,2553,779,2807,949,1592,626,1588,647,1763,678,1962,745,2406,848,2975,1089,1597,740,1426,774,746,471,181,155,274,207
310M200US46060,46060,"Tucson, AZ Metro Area",27011,2173,2810,929,2394,865,2689,983,2336,1019,1804,895,1603,683,1101,540,1683,743,1695,749,1991,853,2151,774,2518,1051,1040,538,443,369,497,407,256,267
310M200US46140,46140,"Tulsa, OK Metro Area",7622,855,385,203,296,172,705,262,1019,326,396,173,764,257,518,227,357,185,614,271,691,289,710,256,749,312,335,210,34,56,49,79,0,153
310M200US46700,46700,"Vallejo-Fairfield, CA Metro Area",8768,1302,239,212,557,501,234,292,512,364,540,434,283,272,208,253,475,381,428,382,1351,747,1109,597,990,496,724,340,175,201,509,382,434,398
310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",8505,1838,525,433,409,342,380,422,909,530,411,374,440,331,1083,611,333,417,679,472,813,517,707,472,1063,716,390,426,56,90,283,257,24,41
310M200US47300,47300,"Visalia-Porterville, CA Metro Area",9818,1340,918,420,587,331,982,445,609,280,725,338,429,265,990,490,429,317,710,491,725,349,1204,526,1133,501,163,126,0,200,182,200,32,53
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",67946,3936,2644,938,1638,613,2228,968,3093,1299,3692,1088,3688,1079,3861,1079,3934,1238,3122,1095,7393,1495,7817,1610,10680,2135,6269,1292,3729,1149,2709,802,1449,660
310M200US48620,48620,"Wichita, KS Metro Area",3827,803,450,293,321,266,86,111,202,233,424,271,216,154,182,164,201,155,198,219,285,209,286,269,216,223,539,347,159,195,62,109,0,168
310M200US49180,49180,"Winston-Salem, NC Metro Area",4760,1080,443,259,393,249,456,287,399,388,376,359,439,368,495,452,556,433,213,238,195,179,322,292,215,166,211,258,47,75,0,198,0,198
310M200US49340,49340,"Worcester, MA-CT Metro Area",6624,1428,760,455,777,439,958,553,401,376,655,409,720,656,406,416,124,157,270,252,362,310,590,447,230,220,270,286,101,134,0,187,0,187
310M200US49420,49420,"Yakima, WA Metro Area",7362,1471,505,361,1023,632,164,152,161,104,360,413,542,419,201,187,482,405,808,465,859,419,508,330,982,616,277,220,253,236,0,193,237,309
310M200US49740,49740,"Yuma, AZ Metro Area",8520,1310,810,437,260,259,190,272,762,420,892,701,830,549,658,363,674,387,408,347,962,558,670,478,919,544,270,260,155,214,25,41,35,59
