GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",19375,1858,5992,1334,2172,718,2851,952,2208,769,1329,611,1344,677,565,406,496,441,374,322,693,376,682,358,303,362,168,196,120,197,78,122,0,225
310M200US10740,10740,"Albuquerque, NM Metro Area",26022,2606,3166,1033,1947,713,2409,801,1868,806,1618,675,2116,780,1287,668,1063,626,924,579,2470,843,2773,694,1675,592,1212,443,612,344,553,316,329,405
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",12097,1736,1802,765,909,588,834,470,668,545,818,516,795,533,1000,568,541,468,866,466,1178,625,1191,684,870,472,90,114,129,176,355,295,51,86
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",41491,3858,2078,967,2323,916,2342,938,4030,1285,3715,1264,6026,2155,3521,1437,2369,812,2183,916,2891,1294,4112,1247,3326,1120,997,662,1256,735,221,232,101,124
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",22643,2404,1756,743,1615,774,1192,609,1417,509,1192,637,1491,545,1617,587,1639,676,771,436,2357,920,2848,838,2019,773,1333,511,544,344,472,349,380,340
310M200US12540,12540,"Bakersfield, CA Metro Area",24082,2629,1841,631,1872,822,1446,488,1204,618,2315,803,1623,737,1350,436,891,485,1119,562,2367,842,2774,971,2839,1140,1097,446,775,477,250,174,319,402
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",10976,2108,1045,624,556,407,514,441,644,528,235,294,641,567,392,420,664,544,363,327,1712,948,1845,840,1063,579,483,552,390,439,237,214,192,197
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",57263,3467,7313,1564,5863,1321,4172,1165,4802,1140,3159,992,4210,988,3269,937,1758,783,2766,904,3621,913,5469,1421,5541,1263,2089,710,1457,556,1136,489,638,462
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",17717,2204,1057,572,938,488,993,551,1529,736,860,572,933,489,1584,762,647,426,1200,605,1127,598,1917,788,2215,1077,1914,962,529,414,151,142,123,119
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",6064,1215,845,409,475,294,461,258,620,378,723,535,309,211,191,187,619,417,246,228,443,305,402,240,475,379,90,105,165,261,0,213,0,213
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",7959,1190,2331,763,195,187,637,501,1230,669,235,239,316,291,183,175,406,378,505,338,280,235,863,535,367,437,249,294,113,176,0,193,49,80
310M200US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",5067,1408,667,424,326,230,342,339,391,288,243,234,760,473,329,283,669,560,199,154,255,262,331,294,329,510,121,196,105,184,0,218,0,218
310M200US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",19765,2435,1155,752,389,339,1405,604,1882,1066,2386,1003,2143,784,1550,863,1175,585,909,575,2107,748,1434,606,1062,506,1416,830,487,504,132,148,133,165
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",182818,6138,10553,1861,8837,1663,12601,1963,12437,1960,14172,2054,15289,1985,13795,2011,10026,1470,8714,1396,16483,2140,18747,2515,20369,2832,9986,1719,5461,1203,3546,789,1802,649
310M200US17460,17460,"Cleveland-Elyria, OH Metro Area",7127,1345,926,434,362,234,379,264,626,472,281,187,389,311,489,368,385,296,336,339,377,213,802,385,944,417,492,484,0,190,62,68,277,292
