GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
3100000US10740,10740,"Albuquerque, NM Metro Area",46441,3403,4886,1281,3204,1021,2860,1071,3432,1057,3639,1045,3722,1157,2798,1108,2547,893,3031,887,3757,935,3835,1072,4784,1005,1757,716,1250,691,602,465,337,262
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",9957,1425,1523,602,1143,469,114,138,646,444,1152,707,237,216,641,350,864,431,74,124,1200,536,953,605,761,420,204,275,315,356,130,150,0,271
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",55518,3681,3023,1085,3555,1331,3948,1162,3802,1084,4334,1307,5967,1536,3177,879,2938,1089,3540,1006,5532,1387,5466,1434,5622,1426,2657,944,680,434,712,409,565,461
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",59108,3396,3873,1382,3302,1164,2907,783,4771,1482,4989,1451,4550,1324,4101,1467,2944,1073,2477,838,4956,1227,6237,1431,7131,1794,2650,1003,2388,1030,1083,561,749,542
3100000US12540,12540,"Bakersfield, CA Metro Area",34138,2414,3103,1004,2818,966,2935,959,3180,1145,2089,817,2902,991,2062,914,2023,759,2160,816,2500,833,2728,774,3906,1059,1153,577,367,253,212,163,0,294
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",58125,4249,9012,1871,4783,1291,5328,1421,3331,1089,3423,965,3074,1005,2194,931,4090,1284,2222,902,4326,1233,4900,1155,5175,1223,3916,1202,1075,508,608,301,668,454
3100000US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",11736,1568,1290,445,899,539,734,388,1239,667,670,412,738,466,666,416,463,346,569,455,1076,628,604,376,1417,711,604,415,385,399,34,56,348,254
3100000US15180,15180,"Brownsville-Harlingen, TX Metro Area",6493,968,1301,559,631,369,697,340,350,211,450,256,544,375,226,189,269,259,415,232,703,407,393,267,330,198,17,29,55,92,51,81,61,103
3100000US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",7607,1530,269,341,747,618,403,369,511,519,404,540,912,591,352,333,672,504,718,500,366,369,1262,706,550,391,269,306,68,117,0,305,104,124
