GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
3100000US10740,10740,"Albuquerque, NM Metro Area",49153,3376,5576,1433,2718,1003,3865,1191,2812,981,3813,1111,3941,1315,3961,1180,2571,1042,2862,1196,3761,1087,4742,1235,4536,1346,2475,945,642,382,727,459,151,145
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",10168,1215,1742,790,1208,659,870,597,838,529,389,310,527,448,1027,673,252,217,385,326,671,653,1353,805,335,287,332,306,121,143,73,125,45,73
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",48604,3711,4472,1316,4607,1294,4364,1159,5502,1622,3784,1201,3729,1139,3552,1272,2907,1033,2116,784,4040,1020,4045,936,2324,773,1473,759,1008,501,336,277,345,281
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",53840,3498,4748,954,3822,1240,4061,1071,4450,1395,3435,960,3256,1133,4609,1410,2811,928,2297,790,5677,1558,5831,1453,5107,1198,1930,711,1280,663,400,273,126,161
3100000US12540,12540,"Bakersfield, CA Metro Area",32547,2738,2613,914,2277,883,2729,970,2213,820,2218,759,1742,716,1910,725,1649,617,2096,763,3202,982,2830,1002,3854,924,1743,734,1007,517,464,345,0,294
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",8632,1804,260,237,248,248,131,155,626,463,443,429,299,285,163,271,588,566,268,225,747,498,1604,786,927,509,318,340,1091,761,644,566,275,227
3100000US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",51387,3042,9623,1968,4276,1271,3370,967,2892,914,3152,925,2934,901,2741,936,2940,866,3412,1120,4164,1105,4254,1098,3686,928,1686,649,897,584,822,557,538,389
3100000US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",16121,1870,1413,556,1096,583,618,475,1718,897,942,641,733,468,1138,543,183,158,777,546,1413,805,1817,862,1338,675,1388,695,493,319,677,546,377,398
3100000US15180,15180,"Brownsville-Harlingen, TX Metro Area",8759,1533,1380,610,907,407,525,261,910,597,640,352,864,445,695,463,434,348,214,172,356,228,456,299,510,280,681,507,41,66,122,153,24,39
