GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M100US10180,10180,"Abilene, TX Metro Area",164941,1357,139092,2378,12362,990,619,417,1684,558,37,66,4859,1694,6288,2023,2590,1879,3698,1100
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",305988,,267161,4852,8167,1976,1035,905,85,103,0,285,19853,3585,9687,2826,1766,1310,7921,2375
310M100US10420,10420,"Akron, OH Metro Area",702951,,585699,1213,82358,2733,872,510,13690,1242,0,269,2792,1442,17540,2789,922,630,16618,2715
310M100US10500,10500,"Albany, GA Metro Area",162659,3204,70926,2752,86902,3492,185,166,1780,807,0,300,1690,609,1176,629,0,300,1176,629
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870832,,742532,2573,66960,2492,2412,609,26188,1919,132,167,11670,2908,20938,2757,3163,1019,17775,2640
310M100US10740,10740,"Albuquerque, NM Metro Area",892014,1834,624193,10358,23454,1538,50703,2279,17262,1413,237,307,143247,10713,32918,3613,13771,2885,19147,2810
310M100US10780,10780,"Alexandria, LA Metro Area",154120,,102056,1240,46168,1010,1197,498,1493,270,163,214,1553,788,1490,680,0,281,1490,680
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",822141,,709841,4797,42053,3660,1716,839,21295,1178,31,53,27396,4779,19809,3179,4330,1631,15479,2483
310M100US11020,11020,"Altoona, PA Metro Area",127031,,122234,307,2009,804,64,108,922,246,0,246,490,313,1312,781,25,50,1287,778
310M100US11100,11100,"Amarillo, TX Metro Area",251915,1579,213943,3111,14555,928,2182,986,6063,906,423,571,7381,2253,7368,2058,2522,1216,4846,1556
310M100US11180,11180,"Ames, IA Metro Area",89575,,79734,477,2453,155,91,105,5595,518,0,228,947,470,755,507,31,53,724,502
310M100US11260,11260,"Anchorage, AK Metro Area",382964,,272243,2194,18662,1211,26523,2446,24828,2447,6512,761,4766,1647,29430,3124,1574,661,27856,3157
310M100US11300,11300,"Anderson, IN Metro Area",131642,,116873,669,8480,1255,54,88,649,197,60,78,990,663,4536,1288,64,108,4472,1295
310M100US11340,11340,"Anderson, SC Metro Area",187269,,150930,1275,30958,814,86,100,1122,363,0,296,1698,1301,2475,792,53,93,2422,793
310M100US11460,11460,"Ann Arbor, MI Metro Area",345290,,255658,1128,42799,2304,1891,1063,27481,1026,61,106,3235,899,14165,2377,1679,994,12486,2185
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",118510,,88213,577,25137,427,345,365,706,366,41,72,2700,700,1368,670,0,273,1368,670
310M100US11540,11540,"Appleton, WI Metro Area",225952,,209748,1037,833,837,2970,475,6218,1936,0,218,1348,694,4835,1870,429,393,4406,1865
310M100US11700,11700,"Asheville, NC Metro Area",422752,2047,381593,3285,18518,1698,1560,756,4356,669,668,617,6085,2470,9972,2052,2695,1426,7277,1632
