GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
3100000US10180,10180,"Abilene, TX Metro Area",160266,948,129397,2894,10751,1817,1013,425,2176,332,286,373,13334,3124,3309,1288,1032,685,2277,981
3100000US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",342495,,302494,5165,13147,3259,0,289,492,806,0,289,20138,2955,6224,2637,538,405,5686,2637
3100000US10420,10420,"Akron, OH Metro Area",699935,,590229,1452,83677,1795,936,587,12981,708,62,112,2931,1473,9119,1735,416,341,8703,1726
3100000US10500,10500,"Albany, GA Metro Area",164238,4410,71551,2792,87151,4145,240,311,1847,1598,0,296,960,728,2489,1064,60,102,2429,1063
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",857592,,741826,2567,59991,2699,1888,607,25334,1300,468,597,9651,2516,18434,2692,1795,723,16639,2630
3100000US10740,10740,"Albuquerque, NM Metro Area",856216,2084,593434,11580,24347,1964,52343,3372,17644,1454,934,640,139093,10792,28421,4870,11012,2737,17409,3529
3100000US10780,10780,"Alexandria, LA Metro Area",154101,,104081,1188,44176,1635,627,319,1513,153,0,281,626,585,3078,1729,377,445,2701,1661
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",816012,,706870,4603,38503,2820,1493,558,20051,765,0,271,35592,4126,13503,2798,2465,1042,11038,2456
3100000US11020,11020,"Altoona, PA Metro Area",126122,,121932,280,2198,244,142,101,722,194,0,246,306,246,822,349,0,246,822,349
3100000US11100,11100,"Amarillo, TX Metro Area",245712,1632,207755,2775,14658,1404,2105,641,5242,247,82,115,8388,2122,7482,1992,3164,1500,4318,1283
3100000US11180,11180,"Ames, IA Metro Area",87214,,78851,283,1751,214,0,228,5105,333,0,228,304,245,1203,477,0,228,1203,477
3100000US11260,11260,"Anchorage, AK Metro Area",374553,,273645,2171,19103,1045,18932,2260,22497,1215,3747,257,7338,2199,29291,2910,2065,870,27226,2848
3100000US11300,11300,"Anderson, IN Metro Area",131417,,116367,897,8483,1289,54,89,658,210,0,269,1233,799,4622,1421,519,695,4103,1317
3100000US11340,11340,"Anderson, SC Metro Area",184901,,149227,791,29423,1005,376,299,1480,312,0,289,1437,739,2958,1207,263,268,2695,1179
3100000US11460,11460,"Ann Arbor, MI Metro Area",347563,,266451,1182,39547,2306,512,351,26333,1142,0,244,1872,961,12848,2512,392,361,12456,2516
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",114081,,86596,577,22259,897,616,335,683,431,87,147,2019,693,1821,824,165,270,1656,765
3100000US11540,11540,"Appleton, WI Metro Area",221894,,207661,878,2260,388,3158,695,6122,635,0,216,984,581,1709,733,194,331,1515,642
3100000US11700,11700,"Asheville, NC Metro Area",412671,,370402,2512,20038,1240,2132,1077,3497,723,41,76,7786,2295,8775,2119,3090,1641,5685,1339
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",192222,,146645,2450,35950,2076,487,662,4194,637,0,296,1985,1074,2961,1125,561,609,2400,924
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5476664,3311,3167175,16779,1727337,10965,12935,1992,236792,3247,3998,2279,228615,15994,99812,9326,13177,2720,86635,9034
3100000US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",271712,,184963,2826,44395,2259,683,218,17714,834,0,279,15731,2743,8226,2265,1565,884,6661,2139
3100000US12220,12220,"Auburn-Opelika, AL Metro Area",135883,,98300,833,31192,1244,468,371,2751,293,0,273,578,614,2594,1164,25,42,2569,1171
3100000US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",539652,3532,323688,2937,189368,4003,1612,812,8729,856,143,166,7003,1069,9109,1919,499,353,8610,1895
3100000US12420,12420,"Austin-Round Rock, TX Metro Area",1705075,,1255906,12734,128399,3033,10174,2629,76646,1770,649,518,195054,12744,38247,4590,11415,2974,26832,3560
3100000US12540,12540,"Bakersfield, CA Metro Area",807407,,558890,11756,45531,2493,8068,1729,29484,1607,1093,427,135162,11288,29179,4311,11016,3213,18163,3184
3100000US12580,12580,"Baltimore-Towson, MD Metro Area",2690886,,1722490,5487,764778,5157,6269,1453,103987,2476,1439,887,36444,5888,55479,5124,5922,1714,49557,4769
3100000US12620,12620,"Bangor, ME Metro Area",149419,,142966,423,1438,248,1080,354,1752,236,0,230,546,417,1637,503,182,269,1455,435
3100000US12700,12700,"Barnstable Town, MA Metro Area",221151,,207296,1096,3874,1024,517,539,1660,322,0,283,2324,1118,5480,1234,901,811,4579,977
3100000US12940,12940,"Baton Rouge, LA Metro Area",786947,,481661,2390,277695,2892,818,405,12240,1365,71,120,4523,1525,9939,1824,910,456,9029,1754
3100000US12980,12980,"Battle Creek, MI Metro Area",135616,,114581,669,14503,1000,299,283,2037,381,0,244,369,377,3827,1093,343,371,3484,1000
3100000US13020,13020,"Bay City, MI Metro Area",107434,,100752,1088,1339,605,489,433,760,244,120,193,644,529,3330,1057,1591,856,1739,684
3100000US13140,13140,"Beaumont-Port Arthur, TX Metro Area",378477,,249035,2796,95750,1543,1255,514,8426,477,194,260,19346,2669,4471,1329,1090,846,3381,1030
3100000US13380,13380,"Bellingham, WA Metro Area",200434,,174530,2398,1491,581,4441,745,6866,1160,431,420,4599,2570,8076,1730,1609,1165,6467,1391
3100000US13460,13460,"Bend, OR Metro Area",158629,,148004,1838,578,390,1642,636,1904,498,283,354,2461,1614,3757,1457,1233,918,2524,1001
3100000US13740,13740,"Billings, MT Metro Area",153854,1525,137377,2144,479,384,6092,668,1253,390,45,77,4283,1631,4325,905,548,457,3777,848
3100000US13780,13780,"Binghamton, NY Metro Area",244694,,223035,757,8526,878,514,438,6989,491,0,277,1071,781,4559,949,550,334,4009,1025
