GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; White alone,Margin of Error; White alone,Estimate; Black or African American alone,Margin of Error; Black or African American alone,Estimate; American Indian and Alaska Native alone,Margin of Error; American Indian and Alaska Native alone,Estimate; Asian alone,Margin of Error; Asian alone,Estimate; Native Hawaiian and Other Pacific Islander alone,Margin of Error; Native Hawaiian and Other Pacific Islander alone,Estimate; Some other race alone,Margin of Error; Some other race alone,Estimate; Two or more races:,Margin of Error; Two or more races:,Estimate; Two or more races: - Two races including Some other race,Margin of Error; Two or more races: - Two races including Some other race,"Estimate; Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Two or more races: - Two races excluding Some other race, and three or more races"
3100000US10180,10180,"Abilene, TX Metro Area",160012,1005,134906,2544,11718,934,969,695,1784,380,0,291,7368,1964,3267,1149,670,678,2597,854
3100000US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",339193,2979,305023,4976,13614,3252,116,116,465,481,0,289,12424,2862,7551,2672,2493,1538,5058,2379
3100000US10420,10420,"Akron, OH Metro Area",698553,,588591,1619,81250,1823,1194,623,12175,785,0,265,3017,1521,12326,2331,888,564,11438,2244
3100000US10500,10500,"Albany, GA Metro Area",163074,4336,76751,4208,83195,2967,623,496,1036,142,45,77,96,158,1328,672,102,179,1226,631
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",853919,,740127,2241,54863,2800,1809,811,26462,1412,130,140,13499,2707,17029,3058,1180,677,15849,3070
3100000US10740,10740,"Albuquerque, NM Metro Area",841408,3093,595949,9646,24586,1894,49546,2850,16462,1272,183,150,126735,9838,27947,4180,10858,2294,17089,3129
3100000US10780,10780,"Alexandria, LA Metro Area",151428,1701,101825,1851,44073,885,1046,248,846,374,0,277,1141,840,2497,843,332,362,2165,720
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",808210,,703622,4975,36833,2530,1054,636,18906,951,542,618,34798,4611,12455,1976,2011,683,10444,1906
3100000US11020,11020,"Altoona, PA Metro Area",125174,,121330,122,2179,637,0,242,733,250,0,242,118,95,814,695,0,242,814,695
3100000US11100,11100,"Amarillo, TX Metro Area",242640,1144,207120,2854,14747,657,2264,659,5057,544,273,342,9145,2679,4034,1287,1656,894,2378,865
3100000US11180,11180,"Ames, IA Metro Area",86754,,78069,312,2239,134,212,164,5359,156,0,226,496,275,379,181,0,226,379,181
3100000US11260,11260,"Anchorage, AK Metro Area",364701,,269638,2433,18254,2543,17957,1951,18734,1383,3149,429,4384,1442,32585,3570,2296,1441,30289,3179
3100000US11300,11300,"Anderson, IN Metro Area",131501,,116371,612,8752,1374,254,224,563,245,0,265,1037,758,4524,1398,819,564,3705,1370
3100000US11340,11340,"Anderson, SC Metro Area",182825,,147567,965,29430,1517,220,164,1464,139,0,287,1408,971,2736,1469,0,287,2736,1469
3100000US11460,11460,"Ann Arbor, MI Metro Area",347376,,262984,1657,39729,2029,887,388,28278,705,201,226,3474,1172,11823,2031,802,529,11021,1968
3100000US11500,11500,"Anniston-Oxford, AL Metro Area",113419,,86974,889,22829,512,422,265,922,456,0,271,1047,886,1225,579,0,271,1225,579
3100000US11540,11540,"Appleton, WI Metro Area",219720,,206873,775,1128,513,2769,381,5469,587,0,216,392,345,3089,1014,86,143,3003,1016
3100000US11700,11700,"Asheville, NC Metro Area",409092,3445,371266,4449,20069,1500,1531,838,3033,555,258,317,7919,2085,5016,1760,572,514,4444,1551
3100000US12020,12020,"Athens-Clarke County, GA Metro Area",194988,4965,147048,4931,34599,1599,154,141,4382,898,0,298,4777,1854,4028,1801,441,611,3587,1745
3100000US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5368070,9212,3104673,16670,1701581,6936,11684,2207,226415,3107,2402,1268,246272,14774,75043,5480,10885,2297,64158,4620
