GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M100US10180,10180,"Abilene, TX Metro Area",167800,2194,139706,3085,13288,948,427,285,2576,424,22,48,8388,2014,3393,967,670,367,2723,853
310M100US10380,10380,"Aguadilla-Isabela-San Sebastián, PR Metro Area",304727,2065,214621,5590,8724,2485,72,127,1078,1040,98,182,17815,3357,62319,5917,894,590,61425,5929
310M100US10420,10420,"Akron, OH Metro Area",702262,,583496,1052,82477,2551,874,516,14795,1141,246,223,1657,715,18717,2845,966,671,17751,2781
310M100US10500,10500,"Albany, GA Metro Area",155019,1333,68718,1312,81597,1471,198,252,1682,154,0,208,1449,1070,1375,529,290,214,1085,466
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",874646,,739827,2761,66146,2717,1022,479,28980,1701,250,359,10691,2583,27730,3469,5210,1800,22520,2933
310M100US10740,10740,"Albuquerque, NM Metro Area",902794,2711,632637,10844,24268,1550,49957,1909,17201,1519,742,573,143804,10930,34185,3895,12523,2291,21662,3444
310M100US10780,10780,"Alexandria, LA Metro Area",154441,,102795,384,46012,686,1134,399,1846,119,215,358,344,250,2095,643,211,259,1884,591
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",827171,,701569,4620,43952,3342,1591,646,22076,941,0,184,37806,4497,20177,3126,4967,1169,15210,2949
310M100US11020,11020,"Altoona, PA Metro Area",127121,,122217,238,1588,580,120,149,1000,157,0,165,81,104,2115,593,0,165,2115,593
310M100US11100,11100,"Amarillo, TX Metro Area",254579,1158,215662,2642,14101,1333,1861,460,7203,384,804,866,7957,1865,6991,1831,1076,576,5915,1651
310M100US11180,11180,"Ames, IA Metro Area",91140,,81106,468,2875,498,59,103,5190,809,0,151,189,173,1721,872,35,56,1686,869
310M100US11260,11260,"Anchorage, AK Metro Area",392535,,276110,2074,19798,1432,24389,2311,29005,1963,6114,673,4337,1402,32782,3206,1396,842,31386,3172
310M100US11300,11300,"Anderson, IN Metro Area",130348,,114622,824,10926,634,51,85,606,236,0,184,1961,825,2182,638,208,220,1974,632
310M100US11340,11340,"Anderson, SC Metro Area",189355,,151523,1142,31950,1115,397,430,1547,333,0,197,1408,1017,2530,1058,631,518,1899,977
310M100US11460,11460,"Ann Arbor, MI Metro Area",350946,,260646,1595,43301,1749,332,217,28918,824,0,161,4298,1514,13451,2160,884,487,12567,2030
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",117296,,88621,1126,25058,995,406,271,911,288,0,184,542,864,1758,721,102,172,1656,691
310M100US11540,11540,"Appleton, WI Metro Area",228450,,209865,1232,2409,444,2772,617,6573,884,86,151,3185,1200,3560,1182,244,221,3316,1134
310M100US11700,11700,"Asheville, NC Metro Area",432406,,394488,1864,19357,1855,1071,578,4148,706,0,193,3488,1528,9854,1899,808,514,9046,1897
310M100US12020,12020,"Athens-Clarke County, GA Metro Area",194337,2186,142675,2518,39087,1427,492,442,5824,649,0,208,2800,1356,3459,965,646,257,2813,921
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5442113,2802,3051365,13686,1785732,8739,14227,4086,275620,4590,1079,485,198411,13221,115679,9635,13297,2795,102382,9836
310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",275422,,183122,3455,44567,1882,496,368,22059,2047,62,104,16439,3943,8677,1931,3505,1409,5172,1190
310M100US12220,12220,"Auburn-Opelika, AL Metro Area",147257,,103408,1591,33585,930,479,280,4008,407,310,507,3385,1649,2082,833,0,184,2082,833
310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",568161,,329569,3001,205253,3948,1763,617,10300,1004,0,184,9377,2245,11899,2247,1410,732,10489,2113
310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",1834303,,1471311,8977,136376,4054,8955,2430,89647,2744,776,688,71349,8967,55889,5802,9284,2419,46605,5388
310M100US12540,12540,"Bakersfield-Delano, CA Metro Area",856158,,612061,10123,47122,3174,12047,3067,40221,1354,1679,324,116262,9978,26766,4564,7953,1831,18813,4267
310M100US12580,12580,"Baltimore-Towson, MD Metro Area",2753149,,1706214,5580,791578,5643,7224,1669,133588,2891,1412,974,41459,5891,71674,6477,5951,1401,65723,6107
