GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
310M200US10180,10180,"Abilene, TX Metro Area",168144,2513,138580,3596,13160,1102,575,369,2299,585,123,197,8874,2274,4533,1467,507,332,4026,1414
310M200US10380,10380,"Aguadilla-Isabela, PR Metro Area",327847,2444,192550,7182,10774,2380,440,451,2070,949,0,225,56584,4980,65429,5833,1226,1008,64203,5973
310M200US10420,10420,"Akron, OH Metro Area",705686,,583324,1686,85143,2961,1232,685,16145,941,146,227,2750,1393,16946,3055,479,395,16467,3040
310M200US10500,10500,"Albany, GA Metro Area",156277,2001,67125,1184,83961,1956,238,260,1583,297,39,56,1209,689,2122,880,381,423,1741,751
310M200US10540,10540,"Albany, OR Metro Area",118765,,110936,859,281,288,1481,653,1847,237,222,216,762,600,3236,1057,336,368,2900,930
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",877905,,740800,2828,69167,3068,1881,450,32558,1563,588,558,9951,2448,22960,2806,2075,872,20885,2711
310M200US10740,10740,"Albuquerque, NM Metro Area",901932,2508,694943,10117,24444,2202,48417,2440,19403,2088,686,454,79029,8648,35010,4079,8457,1875,26553,3597
310M200US10780,10780,"Alexandria, LA Metro Area",154753,,102934,775,45770,805,1304,732,2119,161,0,203,412,294,2214,615,504,348,1710,546
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",827048,,693498,5565,45488,3175,2346,1692,23105,1344,98,103,44143,5416,18370,2773,2815,1238,15555,2388
310M200US11100,11100,"Amarillo, TX Metro Area",259164,1555,221623,3017,15584,1360,1582,633,7505,944,129,165,5118,1349,7623,1928,1468,675,6155,1818
310M200US11180,11180,"Ames, IA Metro Area",92406,,81549,529,1697,392,0,157,6495,442,32,65,765,420,1868,705,0,157,1868,705
310M200US11260,11260,"Anchorage, AK Metro Area",396142,,276689,2617,18863,1520,27385,2285,25924,2397,6885,304,6312,2247,34084,4223,1775,1136,32309,4172
310M200US11460,11460,"Ann Arbor, MI Metro Area",354240,,263185,1469,43146,1792,1029,676,28654,963,0,168,3267,1398,14959,2104,1341,664,13618,2109
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",116736,,87777,1038,24658,653,88,124,1207,192,0,192,1226,1031,1780,553,78,99,1702,521
310M200US11540,11540,"Appleton, WI Metro Area",229962,,208804,1072,2444,705,3578,659,7383,808,0,149,4856,1255,2897,1037,593,448,2304,1024
310M200US11640,11640,"Arecibo, PR Metro Area",195036,,168506,4223,6679,1964,495,354,690,506,0,225,14880,3464,3786,1540,1298,871,2488,1449
310M200US11700,11700,"Asheville, NC Metro Area",437657,,397476,2771,19628,1652,1206,577,3560,955,207,206,4494,1967,11086,2157,1682,1876,9404,1993
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",197357,2746,144240,2479,38749,1933,392,335,6923,516,0,214,3370,2076,3683,1175,460,410,3223,1155
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5524693,3326,3099614,16959,1822587,10523,12998,2602,290092,3664,2117,921,172321,14905,124964,8980,18866,3941,106098,7901
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",275862,,189499,3610,41824,2612,394,350,22338,779,0,200,12457,3266,9350,2641,1832,1083,7518,2313
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",150933,,104152,1424,35703,724,61,143,4857,538,0,192,4520,1810,1640,856,0,192,1640,856
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",581551,1676,344464,3261,206307,3843,1038,783,11005,1207,510,25,4751,1729,13476,3238,1296,711,12180,3107
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",1883051,,1502229,10018,135776,3821,7810,2586,93892,2907,1390,762,82799,9066,59155,4619,11469,2767,47686,4155
310M200US12540,12540,"Bakersfield, CA Metro Area",864124,,646188,11508,47749,2015,8530,1618,39322,2217,992,667,94554,11125,26789,3747,8097,2431,18692,3045
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",2770738,,1703860,6909,803254,5497,7519,1616,138307,2941,1261,694,42604,7037,73933,7110,6268,1981,67665,7057
310M200US12620,12620,"Bangor, ME Metro Area",153364,,146203,360,1073,278,1886,559,1809,486,0,165,36,64,2357,687,87,159,2270,695
310M200US12700,12700,"Barnstable Town, MA Metro Area",214990,,199074,1252,5715,721,1397,687,2776,510,0,203,2577,1057,3451,1110,1261,738,2190,736
310M200US12940,12940,"Baton Rouge, LA Metro Area",820159,,491888,2503,293661,3235,1748,685,15381,1015,0,203,5371,2174,12110,2715,1059,866,11051,2771
310M200US12980,12980,"Battle Creek, MI Metro Area",135012,,110781,1170,15300,1349,622,373,2609,319,40,63,676,612,4984,1260,547,502,4437,1117
310M200US13020,13020,"Bay City, MI Metro Area",106832,,101303,486,1424,558,411,283,661,237,0,168,393,309,2640,749,88,115,2552,708
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",403622,1897,284938,2463,96548,1775,998,581,10455,276,458,521,4213,1300,6012,1765,566,583,5446,1595
310M200US13220,13220,"Beckley, WV Metro Area",124432,,111857,956,9700,902,120,171,312,290,376,404,930,873,1137,593,0,190,1137,593
310M200US13380,13380,"Bellingham, WA Metro Area",206353,,176587,2569,1660,484,6034,1086,8916,948,383,275,4736,2551,8037,1871,224,241,7813,1907
310M200US13460,13460,"Bend-Redmond, OR Metro Area",165954,,155768,1648,456,469,1149,615,2346,572,587,545,2429,1732,3219,1029,474,611,2745,877
310M200US13740,13740,"Billings, MT Metro Area",165730,1098,150207,1626,779,590,7199,1431,1238,403,290,345,1440,946,4577,1582,0,165,4577,1582
310M200US13780,13780,"Binghamton, NY Metro Area",247777,,220165,1209,11158,1201,888,471,7698,597,0,193,2647,1130,5221,1002,357,277,4864,968
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",1140300,,760739,3606,324223,2556,2907,990,14379,1549,12,20,21343,3563,16697,3406,1042,648,15655,3401
310M200US13900,13900,"Bismarck, ND Metro Area",124817,1085,110884,667,720,411,9523,1371,687,177,0,149,501,453,2502,929,142,166,2360,930
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",179738,2893,161060,2716,8369,1340,227,262,5859,1063,20,43,381,310,3822,1565,312,408,3510,1472
310M200US14010,14010,"Bloomington, IL Metro Area",192140,1312,163265,1850,13171,1126,318,222,8647,917,118,197,1900,1364,4721,1229,461,441,4260,1162
310M200US14020,14020,"Bloomington, IN Metro Area",163089,,145433,701,5021,517,303,235,8435,514,127,169,695,565,3075,871,70,134,3005,858
310M200US14260,14260,"Boise City, ID Metro Area",649321,2861,593580,4769,5286,1620,4851,1124,13429,1224,1293,735,13618,3794,17264,2797,2526,1210,14738,2847
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4684299,,3644480,11617,362084,7082,8658,1914,327254,4132,618,333,198767,11338,142438,7295,19121,2849,123317,6802
310M200US14500,14500,"Boulder, CO Metro Area",310048,,269689,3471,3382,967,2566,1587,12770,1105,585,534,12570,3586,8486,1581,876,725,7610,1432
310M200US14540,14540,"Bowling Green, KY Metro Area",163300,2482,140701,2689,12114,1405,626,477,3199,635,0,189,4061,1119,2599,1165,173,149,2426,1111
